,date,text,polarity,Vader Sentiment
108,2021-02-10 15:08:11,"['Bought', 'some', 'Dogecoin', 'for', 'lil', 'Xso', 'he', 'can', 'be', 'a', 'toddler', 'hodler']",0.0,0.0
109,2021-02-10 15:00:38,"['He', 'definitely', 'has', 'issuesbut', 'the', 'sentencing', 'seems', 'a', 'bit', 'high']",0.08,0.0
110,2021-02-10 08:57:34,"['Thanks', 'for', 'fixing']",0.2,0.0
111,2021-02-10 07:51:19,"['Please', 'unlock', 'my', 'account']",0.0,0.0
112,2021-02-10 07:22:23,['🤣🤣'],0.0,0.0
113,2021-02-10 07:18:12,"['This', 'is', 'true', 'power', 'haha']",0.275,0.0
114,2021-02-10 07:13:58,"['Any', 'crypto', 'wallet', 'that', 'won’t', 'give', 'you', 'your', 'private', 'keys', 'should', 'be', 'avoided', 'at', 'all', 'costs']",0.0,0.0
115,2021-02-10 06:35:14,"['Your', 'app', 'sucks']",-0.3,0.0
116,2021-02-10 04:31:33,"['RT', 'NASA', 'has', 'selected', 'Falcon', 'Heavy', 'to', 'launch', 'the', 'first', 'two', 'elements', 'of', 'the', 'lunar', 'Gateway', 'together', 'on', 'one', 'mission']",0.024999999999999994,0.0
117,2021-02-09 14:13:48,['Yes'],0.0,0.0
118,2021-02-09 06:32:25,"['Once', 'we', 'can', 'predict', 'cash', 'flow', 'reasonably', 'wellStarlink', 'will', 'IPO']",0.2,0.0
119,2021-02-09 06:28:42,"['Starlink', 'is', 'a', 'staggeringly', 'difficult', 'technical', '&ampeconomic', 'endeavorHoweverif', 'we', 'don’t', 'failthe', 'cost', 'to', 'end', 'users', 'will', 'improve', 'every', 'year.']",-0.25,0.0
120,2021-02-09 06:20:37,"['SpaceX', 'needs', 'to', 'pass', 'through', 'a', 'deep', 'chasm', 'of', 'negative', 'cash', 'flow', 'over', 'the', 'next', 'year', 'or', 'so', 'to', 'make', 'Starlink', 'financially', 'viableEvery', 'new', 'satellite', 'constellation', 'in', 'history', 'has', 'gone', 'bankruptWe', 'hope', 'to', 'be', 'the', 'first', 'that', 'does', 'not.']",0.014393939393939395,0.0
121,2021-02-09 04:15:49,"['_AA_Carmack', 'Lowest', 'cost', 'per', 'ton', 'of', 'carbon', 'sequesterednet', 'of', 'value', 'of', 'any', 'product', 'made', 'Must', 'be', 'scalable', 'to', 'gigaton', 'level.', 'Aiming', 'for', 'maximum', 'usefulness.']",0.0,0.0
122,2021-02-09 02:22:44,"['It’s', 'meant', 'to', 'be', 'the', 'same', 'price', 'in', 'all', 'countriesOnly', 'difference', 'should', 'be', 'taxes', '&ampshipping.']",0.0,0.0
123,2021-02-09 00:11:09,"['This', 'is', 'intended', 'for', 'Earthbut', 'there', 'may', 'be', 'some', 'ideas', 'that', 'apply', 'to', 'Mars', 'too']",0.0,0.0
124,2021-02-09 00:09:50,"['_Z_Palmer', '🤣🤣']",0.0,0.0
125,2021-02-09 00:08:40,"['XPrize', 'team', 'will', 'manage', 'the', '$100M', 'carbon', 'capture', 'prize']",0.0,0.0
126,2021-02-09 00:02:03,"['Everyone', 'at', 'Tesla', 'receives', 'stock', 'My', 'comp', 'is', 'all', 'stock/optionswhich', 'I', 'do', 'not', 'take', 'off', 'the', 'table', 'That’s', 'what', 'you’re', 'missing.']",-0.2,0.0
127,2021-02-08 06:07:04,"['Back', 'to', 'work', 'I', 'go', '…']",0.0,0.0
128,2021-02-08 05:34:38,"['Does', 'seem', 'a', 'bit', 'high']",0.16,0.0
129,2021-02-08 05:27:36,"['Doge', 'appears', 'to', 'be', 'inflationarybut', 'is', 'not', 'meaningfully', 'so', '(fixed', 'of', 'coins', 'per', 'unit', 'time)whereas', 'BTC', 'is', 'arguably', 'deflationary', 'to', 'a', 'fault.', 'Transaction', 'speed', 'of', 'Doge', 'should', 'ideally', 'be', 'a', 'few', 'orders', 'of', 'magnitude', 'faster.']",-0.125,0.0
130,2021-02-08 03:39:48,['Wow'],0.1,0.0
131,2021-02-08 01:50:32,"['1Orbital', 'launch', 'tower', 'that', 'can', 'stack', '2Enough', 'Raptors', 'for', 'orbit', 'booster', '3Improve', 'ship', '&ampbooster', 'mass']",0.0,0.0
132,2021-02-08 01:14:58,"['Back', 'to', 'work', 'tonight!']",0.0,0.0
133,2021-02-08 01:13:52,"['is', 'for', 'ÐogecoinInstructional', 'video.']",0.0,0.0
134,2021-02-08 00:09:57,"['The', 'people', 'have', 'spoken']",0.0,0.0
135,2021-02-07 23:30:55,"['_7_42', 'So', 'cute', '💕']",0.5,0.0
136,2021-02-07 23:23:55,"['Extremely', 'misleading', 'imageas', 'doesn’t', 'reflect', 'true', 'time', 'cost', 'to', 'people', 'or', 'rain', '&amppain']",0.11249999999999999,0.0
137,2021-02-07 22:25:14,"['Who', 'let', 'the', 'Doge', 'out', '🎶']",0.0,0.0
138,2021-02-07 22:12:09,"['Hodl', 'the', 'rainforests!!']",0.0,0.0
139,2021-02-07 07:41:23,"['So', 'it’s', 'finally', 'come', 'to', 'this']",0.0,0.0
140,2021-02-07 06:24:50,"['It’s', 'the', 'most', 'fun', 'crypto!']",0.4375,0.0
141,2021-02-07 06:22:57,"['Its', 'simplicity', 'is', 'its', 'genius']",0.0,0.0
142,2021-02-07 06:00:31,"['_g_dogg', 'Yup']",0.0,0.0
143,2021-02-07 02:36:32,['🤣🤣'],0.0,0.0
144,2021-02-07 02:28:42,['True'],0.35,0.0
145,2021-02-07 02:24:19,['🤣🤣'],0.0,0.0
146,2021-02-06 22:23:23,"['Not', 'that', 'easyThis', 'is', 'two', 'decades', 'of', 'intense', 'workHave', 'to', 'look', 'at', 'old', 'notesemailstexts.']",0.15000000000000002,0.0
147,2021-02-06 22:17:10,['Yes'],0.0,0.0
148,2021-02-06 22:16:52,"['Lessons', 'learned']",0.0,0.0
149,2021-02-06 22:14:57,"['Of', 'Earth', 'and', 'Mars']",0.0,0.0
150,2021-02-06 22:12:57,"['Time', 'to', 'tell', 'the', 'story', 'of', 'Tesla', '&ampSpaceX']",0.0,0.0
151,2021-02-06 22:10:47,"['Have', 'you', 'read', 'It’s', 'great!!']",1.0,0.0
152,2021-02-06 09:58:04,"['The', 'Second', 'Last', 'Kingdom']",0.0,0.0
153,2021-02-06 08:45:02,"['Haven’t', 'heard', 'that', 'name', 'in', 'years', '…']",0.0,0.0
154,2021-02-06 08:42:25,['Dogecake'],0.0,0.0
155,2021-02-06 08:32:55,['YOLT'],0.0,0.0
156,2021-02-06 08:08:24,"['That’s', 'Damian']",0.0,0.0
157,2021-02-06 07:23:38,['Yeah'],0.0,0.0
158,2021-02-06 07:23:09,['Sure'],0.5,0.0
159,2021-02-06 06:46:24,"['The', 'great', 'thing', 'about', 'restaurants', 'is', 'that', 'you', 'get', 'to', 'hang', 'out', 'with', 'strangersSJM']",0.8,0.0
160,2021-02-06 04:51:07,"['The', 'future', 'currency', 'of', 'Earth']",0.0,0.0
161,2021-02-06 04:46:13,"['Just', 'a', 'scratch']",0.0,0.0
162,2021-02-06 04:02:23,"['Much', 'wow!']",0.125,0.0
163,2021-02-05 11:49:29,['🖤'],0.0,0.0
164,2021-02-05 10:29:50,['Destiny'],0.0,0.0
165,2021-02-05 08:40:35,"['Franz', 'was', 'essential']",0.0,0.0
166,2021-02-05 08:08:58,"['_bickett', 'That', 'saidthe', 'ship', 'landing', 'burn', 'has', 'a', 'clear', 'solutionMy', 'greatest', 'concern', 'is', 'achieving', 'good', 'payload', 'to', 'orbit', 'with', 'rapid', '&ampfull', 'reusabilitywithout', 'which', 'we', 'shall', 'forever', 'be', 'confined', 'to', 'Earth.']",0.6,0.0
